2026-06-24 02:52:20.186 [info] Client: Pylance client (2026.2.1) started with python extension (2026.4.0)
2026-06-24 02:52:20.221 [info] (44612): Server root directory: file:///home/beast/.vscode/extensions/ms-python.vscode-pylance-2026.2.1/dist
2026-06-24 02:52:28.012 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/SelfTest/Math. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.012 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/SelfTest/Protocol. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.015 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/SelfTest/PublicKey. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.015 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/SelfTest/Random. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.017 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/SelfTest/Signature. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.020 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/SelfTest/Util. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.020 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Signature. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.021 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Util. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.021 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Util/_cpuid_c.abi3.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.021 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Util/_strxor.abi3.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.021 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/py.typed. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.021 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/certifi. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.021 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/certifi-2026.6.17.dist-info. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.021 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/certifi-2026.6.17.dist-info/INSTALLER. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.021 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/certifi-2026.6.17.dist-info/METADATA. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.022 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/certifi-2026.6.17.dist-info/RECORD. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.022 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/certifi-2026.6.17.dist-info/WHEEL. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.022 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/certifi-2026.6.17.dist-info/licenses. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.022 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/certifi-2026.6.17.dist-info/licenses/LICENSE. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.022 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/certifi-2026.6.17.dist-info/top_level.txt. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.022 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/certifi/cacert.pem. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.023 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/certifi/py.typed. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.023 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/charset_normalizer. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.023 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/charset_normalizer-3.4.7.dist-info. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.023 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/charset_normalizer-3.4.7.dist-info/INSTALLER. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.023 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/charset_normalizer-3.4.7.dist-info/METADATA. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.023 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/charset_normalizer-3.4.7.dist-info/RECORD. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.024 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/charset_normalizer-3.4.7.dist-info/WHEEL. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.024 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/charset_normalizer-3.4.7.dist-info/entry_points.txt. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.024 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/charset_normalizer-3.4.7.dist-info/licenses. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.024 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/charset_normalizer-3.4.7.dist-info/licenses/LICENSE. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.024 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/charset_normalizer-3.4.7.dist-info/top_level.txt. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.024 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/charset_normalizer/cd.cpython-313-x86_64-linux-gnu.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.025 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/charset_normalizer/cli. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.025 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/charset_normalizer/md.cpython-313-x86_64-linux-gnu.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
